[1716436800] LOG ROTATION: DAILY
[1716436800] LOG VERSION: 2.0
[1716436800] CURRENT HOST STATE: ADL Diagnostic;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.151.63.105)
[1716436800] CURRENT HOST STATE: Blueshell;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.121.5.67)
[1716436800] CURRENT HOST STATE: Cass Entel;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (152.231.86.226)
[1716436800] CURRENT HOST STATE: Cass Telsur;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (201.220.96.33)
[1716436800] CURRENT HOST STATE: Clinica PV Movistar;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (200.54.66.25)
[1716436800] CURRENT HOST STATE: Clinica PV Telsur;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (201.187.105.177)
[1716436800] CURRENT HOST STATE: Confe;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.151.115.105)
[1716436800] CURRENT HOST STATE: Electric Works;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.171.184.81)
[1716436800] CURRENT HOST STATE: Exper03.exxperience.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.100)
[1716436800] CURRENT HOST STATE: Ext Entel;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (152.231.86.226)
[1716436800] CURRENT HOST STATE: Ext Telsur;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (201.220.96.33)
[1716436800] CURRENT HOST STATE: FW ADL Diagnostic;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.151.63.108)
[1716436800] CURRENT HOST STATE: FW Blueshell;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.121.5.68)
[1716436800] CURRENT HOST STATE: FW Cass Entel;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.151.63.108)
[1716436800] CURRENT HOST STATE: FW Cass Telsur;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (201.220.96.34)
[1716436800] CURRENT HOST STATE: FW Clinica PV Movistar;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (200.54.66.26)
[1716436800] CURRENT HOST STATE: FW Clinica PV Telsur;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (201.187.105.178)
[1716436800] CURRENT HOST STATE: FW Confe;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.151.115.107)
[1716436800] CURRENT HOST STATE: FW Electric Works;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.171.184.82)
[1716436800] CURRENT HOST STATE: FW Gore Los Lagos;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.121.2.51)
[1716436800] CURRENT HOST STATE: FW OyC;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.151.71.212)
[1716436800] CURRENT HOST STATE: FW Pasmar;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.121.2.98)
[1716436800] CURRENT HOST STATE: Gore Los Lagos;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.121.2.50)
[1716436800] CURRENT HOST STATE: Host-10.0.0.120;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.120)
[1716436800] CURRENT HOST STATE: Host-10.0.0.121;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.121)
[1716436800] CURRENT HOST STATE: Host-10.0.0.124;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.124)
[1716436800] CURRENT HOST STATE: Internet;DOWN;HARD;10;CRITICAL - Host Unreachable (8.8.8.8)
[1716436800] CURRENT HOST STATE: OyC Entel;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.151.42.18)
[1716436800] CURRENT HOST STATE: OyC Teledata;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.151.71.212)
[1716436800] CURRENT HOST STATE: Pasmar;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (190.121.2.97)
[1716436800] CURRENT HOST STATE: Qnap NAS;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.28)
[1716436800] CURRENT HOST STATE: SRV01USER_cass.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.12)
[1716436800] CURRENT HOST STATE: SRV04AD01.cass.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.10)
[1716436800] CURRENT HOST STATE: SRV05AD02_cass.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.11)
[1716436800] CURRENT HOST STATE: SRV05AD2_cass.pmc;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.5)
[1716436800] CURRENT HOST STATE: SRV11VIBE_cass.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.2.13)
[1716436800] CURRENT HOST STATE: SRVAD1.cass.pmc;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.4)
[1716436800] CURRENT HOST STATE: SRVAD2.cass.pmc;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.5)
[1716436800] CURRENT HOST STATE: SRVADMIN.cass.pmc;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.109)
[1716436800] CURRENT HOST STATE: SRVCONT.cass.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.95)
[1716436800] CURRENT HOST STATE: SRVDC01_cass.pmc;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.123)
[1716436800] CURRENT HOST STATE: SRVDC1.cass.pmc;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.123)
[1716436800] CURRENT HOST STATE: SRVDNS;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.2.36)
[1716436800] CURRENT HOST STATE: SRVWEB_cass.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.2.14)
[1716436800] CURRENT HOST STATE: SRV_Cfiler.cass.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.20)
[1716436800] CURRENT HOST STATE: SRV_GLPI;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.106)
[1716436800] CURRENT HOST STATE: SRV_GXConsultores;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.115)
[1716436800] CURRENT HOST STATE: SRV_Oraculo_cass.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.2.6)
[1716436800] CURRENT HOST STATE: SRV_Prometheus;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.91)
[1716436800] CURRENT HOST STATE: SRV_SOS2021.cass.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.16)
[1716436800] CURRENT HOST STATE: SRV_SUM;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.50)
[1716436800] CURRENT HOST STATE: SRV_Sharepoint;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.89)
[1716436800] CURRENT HOST STATE: SRV_Soporte;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.96)
[1716436800] CURRENT HOST STATE: SRV_VeeamOne;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.101)
[1716436800] CURRENT HOST STATE: SRV_chat.cass.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.92)
[1716436800] CURRENT HOST STATE: SRV_email.cass.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.2.25)
[1716436800] CURRENT HOST STATE: SRV_nagios;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.09 ms
[1716436800] CURRENT HOST STATE: SRV_sync.cass.cl;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.2.26)
[1716436800] CURRENT HOST STATE: Servidor Vcenter;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.31)
[1716436800] CURRENT HOST STATE: Servidores CASS;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.17)
[1716436800] CURRENT HOST STATE: Ups Principal;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (192.168.10.19)
[1716436800] CURRENT HOST STATE: Veeam2023.cass.pmc;UNREACHABLE;HARD;10;CRITICAL - Host Unreachable (10.0.0.83)
[1716436800] CURRENT HOST STATE: web_cass_cl;UNREACHABLE;HARD;10;check_ping: Invalid hostname/address - cfiler.cass.cl
[1716436800] CURRENT SERVICE STATE: ADL Diagnostic;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (190.151.63.105)
[1716436800] CURRENT SERVICE STATE: Blueshell;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (190.121.5.67)
[1716436800] CURRENT SERVICE STATE: Clinica PV Movistar;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (200.54.66.25)
[1716436800] CURRENT SERVICE STATE: Confe;Ping;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 59.51 ms
[1716436800] CURRENT SERVICE STATE: Electric Works;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (190.171.184.81)
[1716436800] CURRENT SERVICE STATE: Ext Telsur;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (201.220.96.33)
[1716436800] CURRENT SERVICE STATE: FW ADL Diagnostic;Ping;CRITICAL;HARD;3;CRITICAL - Host Unreachable (190.151.63.108)
[1716436800] CURRENT SERVICE STATE: FW Blueshell;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (190.121.5.68)
[1716436800] CURRENT SERVICE STATE: FW Cass Entel;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (190.151.63.108)
[1716436800] CURRENT SERVICE STATE: FW Cass Telsur;Ancho de Banda DMZ;CRITICAL;HARD;1;(No output on stdout) stderr:
[1716436800] CURRENT SERVICE STATE: FW Cass Telsur;Ancho de Banda LAN;CRITICAL;HARD;1;(No output on stdout) stderr:
[1716436800] CURRENT SERVICE STATE: FW Cass Telsur;Ancho de Banda WAN;CRITICAL;HARD;1;(No output on stdout) stderr:
[1716436800] CURRENT SERVICE STATE: FW Cass Telsur;Estado Puerto DMZ;WARNING;HARD;1;WARNING: SNMP error: No response from remote host "201.220.96.34"
[1716436800] CURRENT SERVICE STATE: FW Cass Telsur;Estado Puerto LAN;WARNING;HARD;1;WARNING: SNMP error: No response from remote host "201.220.96.34"
[1716436800] CURRENT SERVICE STATE: FW Cass Telsur;Estado Puerto WAN;WARNING;HARD;1;WARNING: SNMP error: No response from remote host "201.220.96.34"
[1716436800] CURRENT SERVICE STATE: FW Cass Telsur;Estado TCP Sophos;CRITICAL;HARD;1;connect to address 201.220.96.34 and port 4444: No route to host
[1716436800] CURRENT SERVICE STATE: FW Cass Telsur;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (201.220.96.34)
[1716436800] CURRENT SERVICE STATE: FW Cass Telsur;Tiempo Activo;CRITICAL;HARD;1;CRITICAL - Plugin timed out while executing system call
[1716436800] CURRENT SERVICE STATE: FW Clinica PV Movistar;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (200.54.66.26)
[1716436800] CURRENT SERVICE STATE: FW Confe;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (190.151.115.107)
[1716436800] CURRENT SERVICE STATE: FW Electric Works;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (190.171.184.82)
[1716436800] CURRENT SERVICE STATE: FW Gore Los Lagos;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (190.121.2.51)
[1716436800] CURRENT SERVICE STATE: FW Pasmar;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (190.121.2.98)
[1716436800] CURRENT SERVICE STATE: Gore Los Lagos;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (190.121.2.50)
[1716436800] CURRENT SERVICE STATE: Host-10.0.0.120;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (10.0.0.120)
[1716436800] CURRENT SERVICE STATE: Host-10.0.0.121;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (10.0.0.121)
[1716436800] CURRENT SERVICE STATE: Pasmar;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (190.121.2.97)
[1716436800] CURRENT SERVICE STATE: Qnap NAS;Almacenamiento;CRITICAL;HARD;1;CRITICAL: SNMP to 10.0.0.28 is not available or wrong community string
[1716436800] CURRENT SERVICE STATE: Qnap NAS;Estado;CRITICAL;HARD;1;CRITICAL: SNMP to 10.0.0.28 is not available or wrong community string
[1716436800] CURRENT SERVICE STATE: Qnap NAS;Memoria;CRITICAL;HARD;1;CRITICAL: SNMP to 10.0.0.28 is not available or wrong community string
[1716436800] CURRENT SERVICE STATE: Qnap NAS;Sysinfo;CRITICAL;HARD;1;CRITICAL: SNMP to 10.0.0.28 is not available or wrong community string
[1716436800] CURRENT SERVICE STATE: Qnap NAS;Temperatura;CRITICAL;HARD;1;CRITICAL: SNMP to 10.0.0.28 is not available or wrong community string
[1716436800] CURRENT SERVICE STATE: Qnap NAS;Tiempo Activo;CRITICAL;HARD;1;CRITICAL - Plugin timed out while executing system call
[1716436800] CURRENT SERVICE STATE: SRV01USER_cass.cl;Actualizacion;CRITICAL;HARD;3;(No output on stdout) stderr: connect to address 10.0.0.12 port 5666: No route to host
[1716436800] CURRENT SERVICE STATE: SRV01USER_cass.cl;Almacenamiento C;CRITICAL;HARD;3;connect to address 10.0.0.12 and port 12489: No route to host
[1716436800] CURRENT SERVICE STATE: SRV01USER_cass.cl;Almacenamiento U;CRITICAL;HARD;1;connect to address 10.0.0.12 and port 12489: No route to host
[1716436800] CURRENT SERVICE STATE: SRV01USER_cass.cl;CPU;CRITICAL;HARD;1;connect to address 10.0.0.12 and port 12489: No route to host
[1716436800] CURRENT SERVICE STATE: SRV01USER_cass.cl;Memoria;CRITICAL;HARD;1;connect to address 10.0.0.12 and port 12489: No route to host
[1716436800] CURRENT SERVICE STATE: SRV01USER_cass.cl;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (10.0.0.12)
[1716436800] CURRENT SERVICE STATE: SRV01USER_cass.cl;Tiempo Activo;CRITICAL;HARD;1;connect to address 10.0.0.12 and port 12489: No route to host
[1716436800] CURRENT SERVICE STATE: SRV04AD01.cass.cl;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (10.0.0.10)
[1716436800] CURRENT SERVICE STATE: SRV05AD02_cass.cl;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (10.0.0.11)
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;Actualizacion;CRITICAL;HARD;3;(No output on stdout) stderr: connect to address 10.0.2.13 port 5666: No route to host
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;Almacenamiento /;CRITICAL;HARD;1;(No output on stdout) stderr: connect to address 10.0.2.13 port 5666: No route to host
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;CPU;CRITICAL;HARD;1;(No output on stdout) stderr: connect to address 10.0.2.13 port 5666: No route to host
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;Memoria;CRITICAL;HARD;1;(No output on stdout) stderr: connect to address 10.0.2.13 port 5666: No route to host
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;Ping;CRITICAL;HARD;1;CRITICAL - Host Unreachable (10.0.2.13)
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;Proceso Vibe;CRITICAL;HARD;1;(No output on stdout) stderr: connect to address 10.0.2.13 port 5666: No route to host
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;Procesos;CRITICAL;HARD;1;(No output on stdout) stderr: connect to address 10.0.2.13 port 5666: No route to host
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;Procesos Zombies;CRITICAL;HARD;1;(No output on stdout) stderr: connect to address 10.0.2.13 port 5666: No route to host
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;Puerto HTTP;CRITICAL;HARD;1;connect to address 10.0.2.13 and port 80: No route to host
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;Puerto HTTPS;CRITICAL;HARD;1;connect to address 10.0.2.13 and port 443: No route to host
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;Servicio Vibe;CRITICAL;HARD;1;(No output on stdout) stderr: connect to address 10.0.2.13 port 5666: No route to host
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;Tiempo Activo;CRITICAL;HARD;1;(No output on stdout) stderr: connect to address 10.0.2.13 port 5666: No route to host
[1716436800] CURRENT SERVICE STATE: SRV11VIBE_cass.cl;Usuarios Login;CRITICAL;HARD;1;(No output on stdout) stderr: connect to address 10.0.2.13 port 5666: No route to host
